2025-01-22 22:44:37,Ankara,20\u00baC
2025-01-22 22:44:38,Ankara,22\u00baC
2025-01-22 22:44:39,Barcelona,19\u00baC
2025-01-22 22:44:40,Ankara,30\u00baC
2025-01-22 22:44:41,Ankara,27\u00baC
2025-01-22 22:44:42,Kiev,25\u00baC
2025-01-22 22:44:43,Barcelona,32\u00baC
2025-01-22 22:44:44,Kiev,30\u00baC
2025-01-22 22:44:45,Ankara,24\u00baC
2025-01-22 22:44:47,Barcelona,21\u00baC
2025-01-22 22:57:38,Cairo,27\u00baC
2025-01-22 22:57:39,Vienna,28\u00baC
2025-01-22 22:57:40,Cairo,32\u00baC
2025-01-22 22:57:41,Adelaide,19\u00baC
2025-01-22 22:57:42,Adelaide,20\u00baC
2025-01-22 22:57:43,Cairo,26\u00baC
2025-01-22 22:57:44,Adelaide,27\u00baC
2025-01-22 22:57:45,Vienna,20\u00baC
2025-01-22 22:57:46,Adelaide,21\u00baC
2025-01-22 22:57:47,Adelaide,29\u00baC
2025-01-23 10:07:13,New York,32\u00baC
2025-01-23 10:07:14,Ann Arbor,18\u00baC
2025-01-23 10:07:15,Ann Arbor,23\u00baC
2025-01-23 10:07:16,New York,31\u00baC
2025-01-23 10:07:17,Ann Arbor,30\u00baC
2025-01-23 10:07:18,New York,32\u00baC
2025-01-23 10:07:19,Ann Arbor,22\u00baC
2025-01-23 10:07:20,New York,28\u00baC
2025-01-23 10:07:21,New York,19\u00baC
2025-01-23 10:07:22,Ann Arbor,30\u00baC
2025-01-23 12:20:13,New York,31\u00baC
2025-01-23 12:20:14,Tokyo,22\u00baC
2025-01-23 12:20:15,Tokyo,21\u00baC
2025-01-23 12:20:16,Tokyo,27\u00baC
2025-01-23 12:20:17,Tokyo,32\u00baC
2025-01-23 12:20:18,Tokyo,30\u00baC
2025-01-23 12:20:19,Tokyo,32\u00baC
2025-01-23 12:20:20,New York,25\u00baC
2025-01-23 12:20:21,Tokyo,29\u00baC
2025-01-23 12:20:22,Tokyo,23\u00baC
2025-01-22 22:44:37,Ankara,20\u00baC
2025-01-22 22:44:38,Ankara,22\u00baC
2025-01-22 22:44:39,Barcelona,19\u00baC
2025-01-22 22:44:40,Ankara,30\u00baC
2025-01-22 22:44:41,Ankara,27\u00baC
2025-01-22 22:44:42,Kiev,25\u00baC
2025-01-22 22:44:43,Barcelona,32\u00baC
2025-01-22 22:44:44,Kiev,30\u00baC
2025-01-22 22:44:45,Ankara,24\u00baC
2025-01-22 22:44:47,Barcelona,21\u00baC
2025-01-22 22:57:38,Cairo,27\u00baC
2025-01-22 22:57:39,Vienna,28\u00baC
2025-01-22 22:57:40,Cairo,32\u00baC
2025-01-22 22:57:41,Adelaide,19\u00baC
2025-01-22 22:57:42,Adelaide,20\u00baC
2025-01-22 22:57:43,Cairo,26\u00baC
2025-01-22 22:57:44,Adelaide,27\u00baC
2025-01-22 22:57:45,Vienna,20\u00baC
2025-01-22 22:57:46,Adelaide,21\u00baC
2025-01-22 22:57:47,Adelaide,29\u00baC
2025-01-23 10:07:13,New York,32\u00baC
2025-01-23 10:07:14,Ann Arbor,18\u00baC
2025-01-23 10:07:15,Ann Arbor,23\u00baC
2025-01-23 10:07:16,New York,31\u00baC
2025-01-23 10:07:17,Ann Arbor,30\u00baC
2025-01-23 10:07:18,New York,32\u00baC
2025-01-23 10:07:19,Ann Arbor,22\u00baC
2025-01-23 10:07:20,New York,28\u00baC
2025-01-23 10:07:21,New York,19\u00baC
2025-01-23 10:07:22,Ann Arbor,30\u00baC
2025-01-23 12:20:13,New York,31\u00baC
2025-01-23 12:20:14,Tokyo,22\u00baC
2025-01-23 12:20:15,Tokyo,21\u00baC
2025-01-23 12:20:16,Tokyo,27\u00baC
2025-01-23 12:20:17,Tokyo,32\u00baC
2025-01-23 12:20:18,Tokyo,30\u00baC
2025-01-23 12:20:19,Tokyo,32\u00baC
2025-01-23 12:20:20,New York,25\u00baC
2025-01-23 12:20:21,Tokyo,29\u00baC
2025-01-23 12:20:22,Tokyo,23\u00baC
2025-01-23 12:30:07,New York,20\u00baC
2025-01-23 12:30:08,Tokyo,18\u00baC
2025-01-23 12:30:09,New York,21\u00baC
2025-01-23 12:30:10,Tokyo,24\u00baC
2025-01-23 12:30:11,Tokyo,29\u00baC
2025-01-23 12:30:12,Tokyo,32\u00baC
2025-01-23 12:30:13,Tokyo,22\u00baC
2025-01-23 12:30:14,Tokyo,25\u00baC
2025-01-23 12:30:15,Singapore,20\u00baC
2025-01-23 12:30:16,Tokyo,28\u00baC
2025-01-22 22:44:37,Ankara,20\u00baC
2025-01-22 22:44:38,Ankara,22\u00baC
2025-01-22 22:44:39,Barcelona,19\u00baC
2025-01-22 22:44:40,Ankara,30\u00baC
2025-01-22 22:44:41,Ankara,27\u00baC
